Customer_ID,Customer_Name,Customer_Type,Industry,Region,Country,City,Email,Phone,Registration_Date,Account_Status,Payment_Terms,Credit_Limit,Account_Manager
CUST00001,"Rodriguez, Figueroa and Sanchez",Government,Telecom,North,UK,Lake Curtis,garzaanthony@robinson.org,2834863794,2025-03-11,Active,Net 15,104886,Priya Nair
CUST00002,Ramirez-Lewis,Government,Logistics,East,UK,Curtisfurt,howardmaurice@roman-blair.net,361-284-9593,2023-07-15,Active,Net 60,241335,John Thomas
CUST00003,Galloway-Wyatt,SMB,Manufacturing,South,Singapore,South Joshuastad,mitchellclark@miles-sutton.com,+1-528-232-7648x350,2024-04-12,Inactive,Net 30,249041,Arjun Kumar
CUST00004,Adams-Clark,Enterprise,IT,West,USA,Jasonfort,pwilkerson@thomas-taylor.net,+1-949-369-6532,2021-12-30,Inactive,Net 15,308795,Rahul Sharma
CUST00005,Hernandez and Sons,Enterprise,Healthcare,East,USA,Carlsonfurt,dcarlson@king.com,+1-384-651-4627x04828,2025-11-30,Suspended,Net 30,179981,John Thomas
CUST00006,"Gonzalez, Brooks and Martin",Retail,Logistics,West,India,New Mariotown,hickmannatasha@allen-allen.org,417-618-2278,2026-01-31,Suspended,Net 15,578178,Sneha Patel
CUST00007,"Henderson, Lewis and Ryan",Enterprise,Logistics,South,Singapore,Lake Larry,samuel87@wright.com,5983393010,2021-11-11,Active,Net 60,289629,Priya Nair
CUST00008,Jones-Young,SMB,IT,South,Australia,Lewisberg,esanchez@lee-davis.biz,(566)970-1065x133,2022-10-15,Inactive,Net 60,301995,Arjun Kumar
CUST00009,White-Ford,Government,Telecom,North,UK,South Lindseyside,williamsyvette@novak.com,(977)436-0260x64746,2023-03-18,Inactive,Net 15,510337,Arjun Kumar
CUST00010,Robinson-Brown,SMB,Education,South,USA,Lake Leeton,hshaw@brown.com,(219)313-6193,2025-02-28,Inactive,Net 15,488974,Priya Nair
CUST00011,"Silva, Mills and Donovan",SMB,Telecom,South,USA,Lake Jennifer,josephanderson@evans.com,6794911838,2024-07-25,Inactive,Net 60,585822,Arjun Kumar
CUST00012,Suarez LLC,Enterprise,Education,West,Australia,Ericside,cheryl80@montoya.com,911-682-4493x534,2022-01-10,Active,Net 30,657086,Sneha Patel
CUST00013,Walters LLC,Retail,Finance,North,Singapore,North Matthewberg,evan78@patterson.com,+1-605-798-2620,2021-12-07,Active,Net 15,612332,Sneha Patel
CUST00014,Clark-Wright,Enterprise,IT,East,India,West Kimberlychester,sarayoung@cherry.biz,2259634216,2023-06-28,Active,Net 60,183767,John Thomas
CUST00015,Velasquez Group,Government,IT,West,UK,Kevinbury,andrewlee@ramirez-jones.com,(386)885-0142x940,2024-07-15,Suspended,Net 15,62666,Sneha Patel
CUST00016,"Hartman, Graham and Joyce",SMB,Logistics,South,India,South Rachelborough,bradley60@frost.com,(861)659-5148x465,2026-04-24,Suspended,Net 15,80535,Arjun Kumar
CUST00017,Lee Ltd,SMB,IT,West,Australia,Byrdburgh,richard04@clark-floyd.org,+1-757-377-3872x1489,2023-08-05,Suspended,Net 60,506551,John Thomas
CUST00018,"Collins, Drake and Hernandez",Government,IT,East,Australia,East Traceyland,operry@lee.com,(501)363-2870,2025-06-24,Suspended,Net 30,208338,Rahul Sharma
CUST00019,Solis Ltd,Enterprise,Finance,East,UK,Stephaniemouth,jrivas@merritt-manning.info,643.748.7347x143,2024-04-25,Active,Net 45,268126,Priya Nair
CUST00020,"Miller, Hernandez and Reyes",SMB,Telecom,North,UK,Lake Jason,irussell@perry-clark.biz,(590)996-7054x6688,2023-06-18,Suspended,Net 60,822838,Rahul Sharma
CUST00021,Graham-Johnson,Retail,Manufacturing,West,Singapore,Elizabethfurt,marycalhoun@ferguson.com,562-972-0465,2024-05-17,Inactive,Net 15,155878,Sneha Patel
CUST00022,Juarez-Gray,Government,Healthcare,North,Singapore,Kingland,ismith@cooke.com,+1-510-903-3092x3271,2023-10-11,Active,Net 60,911882,John Thomas
CUST00023,Jackson-Lawson,SMB,Telecom,South,USA,Port Loriport,lanesarah@byrd.com,793-814-9190,2024-09-30,Active,Net 30,492296,Sneha Patel
CUST00024,Hunter LLC,SMB,Telecom,West,Singapore,Port Robertfort,hamiltonmichael@zimmerman-graham.net,+1-949-587-7694x5314,2025-07-19,Inactive,Net 30,202906,Priya Nair
CUST00025,"Bishop, Gray and Johnson",Government,Telecom,North,India,Hunterborough,lauren54@haynes.com,236-378-3777,2024-02-06,Active,Net 15,504589,Rahul Sharma
CUST00026,Sullivan and Sons,Retail,Manufacturing,North,UK,Elizabethstad,wtran@barajas-pierce.com,001-574-544-3135x182,2025-09-18,Suspended,Net 30,71959,John Thomas
CUST00027,Hardy-Bray,Enterprise,Education,North,India,Tinaborough,jeremy24@erickson.com,6089427109,2025-09-01,Suspended,Net 30,964091,John Thomas
