Feature,Importance
numerical__Billing_Ratio,0.1534229993580016
numerical__Amount_Difference,0.12464786093810541
numerical__Unit_Revenue_Difference,0.09843615628586569
numerical__Tax_Billing_Ratio,0.04395826325556821
numerical__Tax_Difference,0.03925772765260362
numerical__Usage_Billing_Ratio,0.03731407308440923
numerical__Usage_Difference,0.031195592841659278
numerical__Discount_Exceeded,0.027574384869524043
numerical__Discount_Difference,0.02574823966145573
numerical__Actual_Unit_Revenue,0.019331693318962444
numerical__Peak_Usage_Ratio,0.01794357080067175
numerical__OffPeak_Usage_Ratio,0.017920604548122845
numerical__Usage_Utilization,0.017375264932502348
numerical__Credit_Limit,0.01728665041876514
numerical__Customer_Tenure_Years,0.01654117350265308
numerical__Customer_Tenure_Days,0.016455740276534528
numerical__Discount_Amount,0.015577710858006369
numerical__Billed_Amount,0.01535642976475161
numerical__OffPeak_Usage,0.014856739667611814
numerical__Billed_Usage,0.014831020024788536
numerical__Peak_Usage,0.014825881642822433
numerical__Tax_Expected,0.014774273479160896
numerical__Tax_Billed,0.014600916242031525
numerical__Expected_Amount,0.014575474683313147
numerical__Contract_Price,0.0145381010684541
numerical__Estimated_Usage,0.014191419270583658
numerical__Actual_Usage,0.014119724183742369
numerical__Discount_Applied,0.011502256324424977
numerical__Billing_Month,0.010901235230233505
numerical__Discount_Allowed,0.009586447817702907
numerical__Invoice_Version,0.0048032273249544715
numerical__Contract_Duration,0.004046547933947641
categorical__Invoice_Status_Sent,0.002839076742535016
numerical__Expected_Unit_Revenue,0.00278414825427822
categorical__Account_Status_Active,0.0026962615947357035
categorical__Payment_Terms_Net 60,0.0026266357939293905
categorical__Account_Status_Inactive,0.0026109623048596376
categorical__Currency_USD,0.002542199960036451
numerical__Unit_Price,0.002481832897239116
categorical__Invoice_Status_Paid,0.0023908888364369972
categorical__Customer_Type_Retail,0.002372891878610751
categorical__Invoice_Status_Generated,0.002371239158283614
categorical__Customer_Type_SMB,0.002339806030552855
categorical__Industry_Finance,0.002337301598466
categorical__Account_Status_Suspended,0.002336432561349593
categorical__Currency_INR,0.0023042566419528353
categorical__Billing_Cycle_Quarterly,0.002270197845104674
categorical__Billing_Cycle_Monthly,0.002248425416676164
categorical__Region_South,0.002247017210122022
categorical__Currency_EUR,0.0022048861975497427
categorical__Country_India,0.002182697269970454
categorical__Payment_Terms_Net 15,0.0021469336579510597
categorical__Region_North,0.0020620950688058338
categorical__Region_West,0.002042250630624741
categorical__Country_USA,0.0020137836125810843
categorical__Region_East,0.002007993596334382
categorical__SLA_Level_Bronze,0.002002306039107269
categorical__Payment_Terms_Net 45,0.0019922070960454175
categorical__Country_Australia,0.0019637594550532037
categorical__Country_Singapore,0.0019561580454523064
categorical__SLA_Level_Platinum,0.0019465202875857813
categorical__Customer_Type_Government,0.0019167814765818196
categorical__SLA_Level_Gold,0.0018997332337703362
categorical__Industry_Telecom,0.0018730432889514453
categorical__Billing_Cycle_Yearly,0.001868802518447336
categorical__Industry_IT,0.0018571113023348278
categorical__Customer_Type_Enterprise,0.0018478418868441097
categorical__Payment_Terms_Net 30,0.0017663476549094701
categorical__Country_UK,0.0017066540745384485
categorical__SLA_Level_Silver,0.0017052796640568643
categorical__Industry_Manufacturing,0.0015184348318808653
categorical__Industry_Education,0.001402094012226434
categorical__Industry_Logistics,0.001353765865517199
categorical__Service_Type_Cloud,0.0012525681984714195
categorical__Industry_Healthcare,0.0011344181893445352
categorical__Service_Type_Security,0.0010658685036431601
categorical__Service_Type_Internet,0.0008249837463841306
categorical__Service_Type_SaaS,0.0006663329295498146
categorical__Service_Type_Voice,0.0005213716783826262
numerical__Tax_Rate,0.0
numerical__Billing_Year,0.0
numerical__Contract_Amount_Difference,0.0
numerical__Payment_Term_Days,0.0
