Threshold,Accuracy,Precision,Recall,F1_Score
0.2,0.8765,0.8163636363636364,0.7546218487394958,0.7842794759825328
0.25,0.9,0.9072164948453608,0.7394957983193278,0.8148148148148148
0.3,0.908,0.9457700650759219,0.7327731092436974,0.8257575757575758
0.35,0.9135,0.9709821428571429,0.7310924369747899,0.8341323106423778
0.4,0.916,0.9841269841269841,0.7294117647058823,0.8378378378378378
0.45,0.918,0.9954022988505747,0.7277310924369748,0.8407766990291262
0.5,0.9185,1.0,0.7260504201680672,0.8412852969814996
0.55,0.918,1.0,0.7243697478991596,0.8401559454191033
0.6,0.9175,1.0,0.7226890756302521,0.8390243902439024
0.65,0.9155,1.0,0.7159663865546219,0.8344760039177277
0.7,0.914,1.0,0.7109243697478992,0.831041257367387
0.75,0.9135,1.0,0.7092436974789916,0.8298918387413963
0.8,0.9125,1.0,0.7058823529411765,0.8275862068965517
