Threshold,Accuracy,Precision,Recall,F1_Score
0.2,0.843,0.7486725663716814,0.7109243697478992,0.7293103448275862
0.25,0.8795,0.8718487394957983,0.6974789915966386,0.7749766573295985
0.3,0.892,0.9336384439359268,0.6857142857142857,0.7906976744186046
0.35,0.8965,0.9685990338164251,0.6739495798319328,0.7948463825569871
0.4,0.8995,0.9876237623762376,0.6705882352941176,0.7987987987987988
0.45,0.9,0.9949874686716792,0.6672268907563025,0.7987927565392354
0.5,0.8985,0.9974619289340102,0.6605042016806723,0.7947421638018201
0.55,0.897,1.0,0.653781512605042,0.790650406504065
0.6,0.894,1.0,0.6436974789915967,0.7832310838445807
0.65,0.8925,1.0,0.6386554621848739,0.7794871794871795
0.7,0.8915,1.0,0.6352941176470588,0.7769784172661871
0.75,0.8895,1.0,0.6285714285714286,0.7719298245614035
0.8,0.8885,1.0,0.6252100840336134,0.7693898655635988
